Häagen-Dazs Cups,$4.98,3,,,,SAVE UP TO 1.59 on 3,10,BUY 6 EARN AIR MILES +10 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Imagine Organic Soup,$3.49,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Janes Pub Style Fish or Fillet of Sole,$6.99,1,,,,SAVE 6.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Kiri Cheese Spread,$7.99,2,,,,SAVE UP TO $3.40,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Kool-Aid Jammers,$2.99,1,,,,SAVE UP TO 1.30,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Kraft Dinner Original,$1.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Kraft Salad Dressing,$3.00,1,,,,SAVE UP TO 1.39,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Large Gala or Granny Smith Apples,$1.99,1,,lb,,SAVE 50¢/lb,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Large Seedless Oranges,$3.00,1,,,,SAVE UP TO $1.99,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Liberté Greek Yogourt,$3.00,1,,,,SAVE UP TO 2.59,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Live PEI Mussels,$4.99,1,,,,SAVE 1.00,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Live Pasta or Littleneck Clams,$0.99,1,,100 g,,SAVE 56¢/100 g,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Made Fresh Daily Sliced Strawberries or Pineapple Strawberry Bowls,$5.99,1,,lb,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Marley's Ice Tea,$2.00,1,,,,SAVE UP TO 49¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Mastro Genoa Salami,$2.69,1,,100 g,, SPEND $5 OR MORE EARN AIR MILES +3 reward milesSAVE 20¢/100 g,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
McCain Deep 'N Delicious Pockets,$2.99,1,,,,SAVE UP TO 1.20,5,BUY 2 EARN AIR MILES +5 rewards miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
McCain Potato Patties,$4.49,1,,,,SAVE UP TO 1.10,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
McCain Premium Potato or Onion Ring Products,$3.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
McCain Premium Potato or Onion Ring Products,$3.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
